code,name,net_assets_billion,close_price,nav,market_cap
069500,KODEX 200,149682,78290,78326.4,15317438500000
229200,KODEX 코스닥150,65859,20145,20115.63,5990115750000
102110,TIGER 200,60247,78280,78293.87,6035388000000
278530,KODEX 200TR,52320,28230,28174.33,5250780000000
396500,TIGER 반도체TOP10,49453,29600,29577.23,4688640000000
310970,TIGER MSCI Korea TR,39471,34390,34293.1,3958289000000
091160,KODEX 반도체,29335,88780,88359.78,2863155000000
148020,RISE 200,27274,78940,78940.9,2826052000000
102780,KODEX 삼성그룹,23254,17175,17225.17,2315190000000
278540,KODEX MSCI Korea TR,21837,27170,27261.79,2176317000000
395160,KODEX AI반도체,21194,25045,25022.87,2078735000000
161510,PLUS 고배당주,20412,24575,24544.96,2043657000000
466920,SOL 조선TOP3플러스,19808,37295,37338.55,1969176000000
305720,KODEX 2차전지산업,19210,17200,17198.01,1883400000000
292150,TIGER 코리아TOP10,18404,28590,28511.14,1882651500000
232080,TIGER 코스닥150,17579,20550,20517.2,1524810000000
449450,PLUS K방산,16205,69500,69549.06,1629775000000
294400,KIWOOM 200TR,15987,102130,102153.82,1598334500000
305540,TIGER 2차전지테마,14040,20925,20924.74,1400928750000
315930,KODEX Top5PlusTR,13636,57010,57052.46,1362539000000
152100,PLUS 200,13214,79570,79605.0,1324840500000
487240,KODEX AI전력핵심설비,13023,28065,28128.41,1305022500000
457480,ACE 테슬라밸류체인액티브,12644,21290,21038.7,1282722500000
105190,ACE 200,12367,78755,78770.05,1086819000000
445290,KODEX 로봇액티브,10875,35810,35715.03,1065347500000
395270,HANARO Fn K-반도체,10719,29525,29568.81,1054042500000
494670,TIGER 조선TOP10,10115,29740,29794.53,1018595000000
462010,TIGER 2차전지소재Fn,8597,7160,7137.8,869582000000
494890,KODEX 200액티브,7989,22655,22630.85,806518000000
226490,KODEX 코스피,7728,54415,54425.51,791738250000
455850,SOL AI반도체소부장,7492,23175,23157.87,721901250000
466940,TIGER 은행고배당플러스TOP10,7369,23820,23771.92,738420000000
069660,KIWOOM 200,7079,78255,78219.31,719946000000
462900,KoAct 바이오헬스케어액티브,6998,24130,24129.5,699770000000
091230,TIGER 반도체,6812,92850,92554.65,694518000000
293180,HANARO 200,6758,78615,78582.86,699673500000
139260,TIGER 200 IT,6702,75290,75137.04,682127400000
434730,HANARO 원자력iSelect,6685,59950,59955.52,662447500000
102970,KODEX 증권,6334,23050,23075.58,615435000000
463250,TIGER K방산&우주,6233,42985,42987.44,603939250000
091180,KODEX 자동차,5994,31370,31298.59,591324500000
364980,TIGER 2차전지TOP10,5966,10335,10303.19,606147750000
444200,SOL 코리아메가테크액티브,5719,40780,40701.49,587232000000
439870,KODEX 국고채30년액티브,5635,102720,102645.16,563624640000
471230,KODEX 국고채10년액티브,5326,106790,106733.66,549541340000
385560,RISE KIS국고채30년Enhanced,5310,65415,65278.71,535356360000
469070,RISE AI&로봇,5277,18140,18135.7,524246000000
091170,KODEX 은행,5224,14150,14157.73,523550000000
148070,KIWOOM 국고채10년,5129,107250,107213.38,518339250000
495850,KODEX 코리아밸류업,5067,23200,23190.06,499960000000
463050,TIME K바이오액티브,5023,19550,19581.59,506345000000
138540,TIGER 현대차그룹플러스,4990,56610,56453.61,489110400000
139230,TIGER 200 중공업,4820,15520,15589.16,480188800000
434060,KODEX TDF2050액티브,4692,16525,16462.64,469310000000
114260,KODEX 국고채3년,4449,61555,61540.4,444919540000
365780,ACE 국고채10년,4448,84580,84576.48,455717040000
441800,TIME Korea플러스배당액티브,4226,25340,25425.01,413042000000
361580,RISE 200TR,4141,44280,44288.14,414018000000
270810,RISE 코스닥150,4126,20000,19971.45,331200000000
237350,KODEX 코스피100,4121,61910,61975.89,402415000000
228790,TIGER 화장품,3775,3735,3730.99,383211000000
495050,RISE 코리아밸류업,3762,23260,23291.57,394257000000
277630,TIGER 코스피,3688,54880,55048.96,367696000000
469150,ACE AI반도체포커스,3457,38580,38627.87,345291000000
364970,TIGER 바이오TOP10,3345,8960,8967.01,333312000000
295040,SOL 200TR,3199,29225,29218.81,324397500000
307520,TIGER 지주회사,3092,18910,18914.18,308233000000
315960,RISE 대형고배당10TR,3042,53140,53374.06,300241000000
244580,KODEX 바이오,3033,13435,13441.99,304168400000
302450,RISE 코스피,2993,54805,54920.76,298687250000
484880,SOL 금융지주플러스고배당,2955,19735,19765.31,294051500000
279530,KODEX 고배당주,2882,15970,16009.62,285863000000
471990,KODEX AI반도체핵심장비,2864,20485,20459.48,283717250000
421320,PLUS 우주항공&UAM,2864,45350,45098.51,276635000000
329650,KODEX TRF3070,2611,14345,14345.22,261079000000
461950,KODEX 2차전지핵심소재10,2606,6805,6786.12,259270500000
157500,TIGER 증권,2566,15895,15875.81,247326200000
385720,TIME 코스피액티브,2444,19825,19871.71,243847500000
496080,TIGER 코리아밸류업,2348,23240,23248.94,230076000000
466930,SOL 자동차TOP3플러스,2316,20150,20136.6,233740000000
422420,RISE 2차전지액티브,2272,8755,8806.14,224828400000
143860,TIGER 헬스케어,2217,52425,52289.7,224379000000
475050,ACE KPOP포커스,2200,11930,11956.17,220705000000
310960,TIGER 200TR,2190,45610,45625.25,228050000000
388420,RISE 비메모리반도체액티브,2184,20000,20070.23,220000000000
354500,ACE 코스닥150,1985,20245,20257.19,178156000000
483320,ACE 엔비디아밸류체인액티브,1958,16780,16596.17,209750000000
451060,1Q 200액티브,1936,25285,25305.84,193430250000
433500,ACE 원자력TOP10,1933,53600,53686.06,192960000000
213610,KODEX 삼성그룹밸류,1902,15950,15986.78,189805000000
455860,SOL 2차전지소부장Fn,1791,6365,6361.88,181084250000
332930,HANARO 200TR,1789,102270,102222.94,178972500000
385510,KODEX 신재생에너지액티브,1765,34620,34617.16,176562000000
483340,ACE 구글밸류체인액티브,1755,17145,16959.04,180022500000
496020,WON 전단채플러스액티브,1746,51450,51447.51,174621300000
465780,마이티 26-09 특수채(AAA)액티브,1742,104735,104733.74,174174305000
114100,RISE 국고채3년,1569,107700,107690.55,155195700000
325020,KODEX 배당가치,1558,23870,23971.65,155155000000
403790,마이다스 코스피액티브,1552,43875,44035.43,154659375000
325010,KODEX 성장주,1549,31485,31614.74,157425000000
266160,RISE 고배당,1540,26565,26544.4,152748750000
481430,RISE 국고채10년액티브,1505,100860,100799.68,150583980000
471760,TIGER AI반도체핵심공정,1500,16665,16670.99,142485750000
157490,TIGER 소프트웨어,1441,10115,10089.12,146465200000
367770,RISE 수소경제테마,1411,23090,23129.47,140849000000
438570,SOL 국고채10년,1381,100820,100832.8,137921760000
228810,TIGER 미디어컨텐츠,1363,5855,5845.32,139466100000
495230,KoAct 코리아밸류업액티브,1357,23640,23595.16,132384000000
290130,RISE ESG사회책임투자,1301,31415,31356.43,130372250000
474590,WON 반도체밸류체인액티브,1276,26355,26317.25,127821750000
152870,파워 200,1190,79275,79309.3,118912500000
490480,SOL K방산,1187,35400,35446.12,115050000000
364960,TIGER BBIG,1177,7285,7265.14,118745500000
442570,RISE TDF2050액티브,1173,16210,16172.63,115091000000
332500,ACE 200TR,1154,52380,52457.79,115236000000
441540,HANARO Fn조선해운,1138,32450,32519.99,113575000000
433980,KODEX TDF2040액티브,1132,15330,15291.69,113442000000
261070,TIGER 코스닥150바이오테크,1115,20765,20727.12,105070900000
328370,PLUS 코스피TR,1105,29385,29476.59,110193750000
451530,TIGER 국고채30년스트립액티브,1088,47115,47116.42,111662550000
469170,ACE 포스코그룹포커스,1088,7185,7182.09,109571250000
495710,BNK 26-06 특수채(AAA이상)액티브,1080,51285,51273.66,108006210000
329660,KODEX TRF5050,1064,17720,17736.36,106320000000
266420,KODEX 헬스케어,1044,23675,23716.72,104170000000
401170,RISE 메타버스,1027,7930,7910.7,103883000000
367760,RISE 네트워크인프라,1023,28720,28808.5,104828000000
363580,KODEX 200IT TR,1012,29800,29776.15,101320000000
228800,TIGER 여행레저,1007,3480,3488.92,101581200000
